,fandom,count,type,href
0,Harry Potter,836000,book,/book/Harry-Potter/
1,Naruto,436000,anime,/anime/Naruto/
2,Twilight,221000,book,/book/Twilight/
3,Supernatural,126000,tv,/tv/Supernatural/
4,Inuyasha,121000,anime,/anime/Inuyasha/
5,Hetalia - Axis Powers,119000,anime,/anime/Hetalia-Axis-Powers/
6,Glee,108000,tv,/tv/Glee/
7,Pokémon,101000,game,/game/Pok%C3%A9mon/
8,Bleach,85300,anime,/anime/Bleach/
9,Percy Jackson and the Olympians,79200,book,/book/Percy-Jackson-and-the-Olympians/
10,Doctor Who,76200,tv,/tv/Doctor-Who/
11,Kingdom Hearts,74400,game,/game/Kingdom-Hearts/
12,Yu-Gi-Oh,68400,anime,/anime/Yu-Gi-Oh/
13,Fairy Tail,68200,anime,/anime/Fairy-Tail/
14,Sherlock,60000,tv,/tv/Sherlock/
15,Lord of the Rings,57900,book,/book/Lord-of-the-Rings/
16,Star Wars,57000,movie,/movie/Star-Wars/
17,Dragon Ball Z,53800,anime,/anime/Dragon-Ball-Z/
18,Once Upon a Time,53000,tv,/tv/Once-Upon-a-Time/
19,Buffy: The Vampire Slayer,50800,tv,/tv/Buffy-The-Vampire-Slayer/
20,Avengers,50700,movie,/movie/Avengers/
21,Fullmetal Alchemist,49300,anime,/anime/Fullmetal-Alchemist/
22,Screenplays,48000,play,/play/Screenplays/
23,Digimon,47500,anime,/anime/Digimon/
24,Hunger Games,46200,book,/book/Hunger-Games/
25,Avatar: Last Airbender,45400,cartoon,/cartoon/Avatar-Last-Airbender/
26,Sailor Moon,44700,anime,/anime/Sailor-Moon/
27,Wrestling,43700,misc,/misc/Wrestling/
28,One Piece,43000,anime,/anime/One-Piece/
29,NCIS,41800,tv,/tv/NCIS/
30,Gundam Wing/AC,41800,anime,/anime/Gundam-Wing-AC/
31,Teen Titans,41200,cartoon,/cartoon/Teen-Titans/
32,Sonic the Hedgehog,41200,game,/game/Sonic-the-Hedgehog/
33,Final Fantasy VII,40900,game,/game/Final-Fantasy-VII/
34,Vampire Diaries,39600,tv,/tv/Vampire-Diaries/
35,Death Note,35100,anime,/anime/Death-Note/
36,Katekyo Hitman Reborn!,34200,anime,/anime/Katekyo-Hitman-Reborn/
37,Legend of Zelda,32600,game,/game/Legend-of-Zelda/
38,Criminal Minds,32400,tv,/tv/Criminal-Minds/
39,RWBY,31700,anime,/anime/RWBY/
40,My Little Pony,31600,cartoon,/cartoon/My-Little-Pony/
41,Transformers/Beast Wars,30800,cartoon,/cartoon/Transformers-Beast-Wars/
42,Stargate: SG-1,30400,tv,/tv/Stargate-SG-1/
43,Attack on Titan/進撃の巨人,29500,anime,/anime/Attack-on-Titan-%E9%80%B2%E6%92%83%E3%81%AE%E5%B7%A8%E4%BA%BA/
44,CSI,27600,tv,/tv/CSI/
45,Merlin,27000,tv,/tv/Merlin/
46,Card Captor Sakura,26900,anime,/anime/Card-Captor-Sakura/
47,Warriors,26800,book,/book/Warriors/
48,Misc. Books,25300,misc,/misc/Misc-Books/
49,Yu Yu Hakusho,25300,anime,/anime/Yu-Yu-Hakusho/
50,Kuroko no Basuke/黒子のバスケ,25100,anime,/anime/Kuroko-no-Basuke-%E9%BB%92%E5%AD%90%E3%81%AE%E3%83%90%E3%82%B9%E3%82%B1/
51,Teen Wolf,24500,tv,/tv/Teen-Wolf/
52,My Hero Academia/僕のヒーローアカデミア,23500,anime,/anime/My-Hero-Academia-%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2/
53,Castle,23200,tv,/tv/Castle/
54,Prince of Tennis,23200,anime,/anime/Prince-of-Tennis/
55,Danny Phantom,23100,cartoon,/cartoon/Danny-Phantom/
56,Miraculous: Tales of Ladybug & Cat Noir,22300,cartoon,/cartoon/Miraculous-Tales-of-Ladybug-Cat-Noir/
57,Ouran High School Host Club,22000,anime,/anime/Ouran-High-School-Host-Club/
58,Dragon Age,21500,game,/game/Dragon-Age/
59,Kuroshitsuji,21200,anime,/anime/Kuroshitsuji/
60,"House, M.D.",21100,tv,/tv/House-M-D/
61,Power Rangers,20700,tv,/tv/Power-Rangers/
62,Beyblade,20600,anime,/anime/Beyblade/
63,Soul Eater,20500,anime,/anime/Soul-Eater/
64,Pirates of the Caribbean,20400,movie,/movie/Pirates-of-the-Caribbean/
65,Vocaloid,20400,misc,/misc/Vocaloid/
66,Bones,20300,tv,/tv/Bones/
67,Mass Effect,20200,game,/game/Mass-Effect/
68,D.Gray-Man,20000,anime,/anime/D-Gray-Man/
69,Batman,19900,comic,/comic/Batman/
70,Walking Dead,19700,tv,/tv/Walking-Dead/
71,Young Justice,19500,cartoon,/cartoon/Young-Justice/
72,South Park,19500,cartoon,/cartoon/South-Park/
73,Grey\'s Anatomy,19500,tv,/tv/Grey-s-Anatomy/
74,X-overs,19400,misc,/misc/X-overs/
75,How to Train Your Dragon,19000,movie,/movie/How-to-Train-Your-Dragon/
76,Fire Emblem,18900,game,/game/Fire-Emblem/
77,Stargate: Atlantis,18800,tv,/tv/Stargate-Atlantis/
78,X-Men: The Movie,18700,movie,/movie/X-Men-The-Movie/
79,Saint Seiya,18700,anime,/anime/Saint-Seiya/
80,Gilmore Girls,18400,tv,/tv/Gilmore-Girls/
81,Fruits Basket,18100,anime,/anime/Fruits-Basket/
82,High School Musical,17800,movie,/movie/High-School-Musical/
